Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
36,3.0,0.0,0.0,1456.0,4.0,476.0,15742.0,0.0,405.0,0.0,0.0,2777.1404881477356,,,,,,,,,,,,,,,,,,,,,175.66278656295108,92.43691691980834,321.7062198158509,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,3.0,0.0,0.0,1951.0,5.0,495.0,16237.0,0.0,389.0999999999999,0.0,0.0,2811.0917644500732,,,,,,,,,,,,,,,,,,,,,163.27865260638234,88.39760776863213,308.58565261245315,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,3.0,0.0,0.0,2454.0,6.0,503.0,16740.0,0.0,413.0000000000002,0.0,0.0,2845.5314173698425,,,,,,,,,,,,,,,,,,,,,173.1981481529641,95.43644286784144,326.207539018077,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,3.0,0.0,0.0,2868.0,7.0,414.0,17154.0,0.0,321.00400000000013,0.0,0.0,2873.7979397773743,,,,,,,,,,,,,,,,,,,,,137.53013473215842,77.51597558074124,264.3308550759626,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3.0,0.0,0.0,3364.0,8.0,496.0,17650.0,0.0,404.206,0.0,0.0,2907.9782650470734,,,,,,,,,,,,,,,,,,,,,164.70261393978177,94.21968860147761,322.8363398256939,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,3.0,0.0,0.0,3745.0,9.0,381.0,18031.0,0.0,306.107,0.0,0.0,2934.2249641418457,,,,,,,,,,,,,,,,,,,,,130.23924309086567,76.55224431615123,256.7425909733534,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,3.0,0.0,0.0,4160.0,10.0,415.0,18446.0,0.0,310.805,0.0,0.0,2962.8215625286102,,,,,,,,,,,,,,,,,,,,,132.9359388369627,81.3467782563946,255.89247786052073,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,3.0,0.0,0.0,4538.0,11.0,378.0,18824.0,0.0,300.106,0.0,0.0,2988.655004501343,,,,,,,,,,,,,,,,,,,,,138.6182804629131,79.51986883241139,247.95624623125008,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,3.0,0.0,0.0,4907.0,12.0,369.0,19193.0,0.0,282.707,0.0,0.0,3014.159749031067,,,,,,,,,,,,,,,,,,,,,125.93931564425151,74.8732954359969,236.471864391663,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,3.0,0.0,0.0,4942.0,13.0,35.0,19228.0,0.0,10.61099999999999,0.0,0.0,3016.8712117671967,,,,,,,,,,,,,,,,,,,,,2.1952509350704634,3.01464922329367,10.544710928200738,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
